make,fuel_type,body_style,curb_weight,num_of_cylinders,engine_size,horsepower,city_mpg,highway_mpg,price
mercury,gas,hatchback,2910,4,140,175,19,24,16503
mitsubishi,gas,hatchback,1918,4,92,68,37,41,5389
mitsubishi,gas,hatchback,1944,4,92,68,31,38,6189
mitsubishi,gas,hatchback,2004,4,92,68,31,38,6669
mitsubishi,gas,hatchback,2145,4,98,102,24,30,7689
mitsubishi,gas,hatchback,2370,4,110,116,23,30,9959
mitsubishi,gas,hatchback,2328,4,122,88,25,32,8499
mitsubishi,gas,hatchback,2833,4,156,145,19,24,12629
mitsubishi,gas,hatchback,2921,4,156,145,19,24,14869
mitsubishi,gas,hatchback,2926,4,156,145,19,24,14489
mitsubishi,gas,sedan,2365,4,122,88,25,32,6989
mitsubishi,gas,sedan,2405,4,122,88,25,32,8189
mitsubishi,gas,sedan,2403,4,110,116,23,30,9279
mitsubishi,gas,sedan,2403,4,110,116,23,30,9279
nissan,gas,sedan,1889,4,97,69,31,37,5499
nissan,diesel,sedan,2017,4,103,55,45,50,7099
nissan,gas,sedan,1918,4,97,69,31,37,6649
nissan,gas,sedan,1938,4,97,69,31,37,6849
nissan,gas,wagon,2024,4,97,69,31,37,7349
nissan,gas,sedan,1951,4,97,69,31,37,7299
nissan,gas,hatchback,2028,4,97,69,31,37,7799
nissan,gas,sedan,1971,4,97,69,31,37,7499
nissan,gas,wagon,2037,4,97,69,31,37,7999
nissan,gas,hardtop,2008,4,97,69,31,37,8249
nissan,gas,hatchback,2324,4,120,97,27,34,8949
nissan,gas,sedan,2302,4,120,97,27,34,9549
nissan,gas,sedan,3095,6,181,152,17,22,13499
nissan,gas,wagon,3296,6,181,152,17,22,14399
nissan,gas,sedan,3060,6,181,152,19,25,13499
nissan,gas,hatchback,3071,6,181,160,19,25,17199
nissan,gas,hatchback,3139,6,181,200,17,23,19699
nissan,gas,hatchback,3139,6,181,160,19,25,18399
peugot,gas,sedan,3020,4,120,97,19,24,11900
peugot,diesel,sedan,3197,4,152,95,28,33,13200
peugot,gas,wagon,3230,4,120,97,19,24,12440
peugot,diesel,wagon,3430,4,152,95,25,25,13860
peugot,gas,sedan,3075,4,120,95,19,24,15580
peugot,diesel,sedan,3252,4,152,95,28,33,16900
peugot,gas,wagon,3285,4,120,95,19,24,16695
peugot,diesel,wagon,3485,4,152,95,25,25,17075
peugot,gas,sedan,3075,4,120,97,19,24,16630
peugot,diesel,sedan,3252,4,152,95,28,33,17950
peugot,gas,sedan,3130,4,134,142,18,24,18150
plymouth,gas,hatchback,1918,4,90,68,37,41,5572
plymouth,gas,hatchback,2128,4,98,102,24,30,7957
plymouth,gas,hatchback,1967,4,90,68,31,38,6229
plymouth,gas,sedan,1989,4,90,68,31,38,6692
plymouth,gas,sedan,2191,4,98,68,31,38,7609
plymouth,gas,wagon,2535,4,122,88,24,30,8921
plymouth,gas,hatchback,2818,4,156,145,19,24,12764
porsche,gas,hatchback,2778,4,151,143,19,27,22018
porsche,gas,hardtop,2756,6,194,207,17,25,32528
porsche,gas,hardtop,2756,6,194,207,17,25,34028
porsche,gas,convertible,2800,6,194,207,17,25,37028
renault,gas,wagon,2579,4,132,?,23,31,9295
renault,gas,hatchback,2460,4,132,?,23,31,9895
saab,gas,hatchback,2658,4,121,110,21,28,11850
saab,gas,sedan,2695,4,121,110,21,28,12170
saab,gas,hatchback,2707,4,121,110,21,28,15040
saab,gas,sedan,2758,4,121,110,21,28,15510
saab,gas,hatchback,2808,4,121,160,19,26,18150
saab,gas,sedan,2847,4,121,160,19,26,18620
subaru,gas,hatchback,2050,4,97,69,31,36,5118
subaru,gas,hatchback,2120,4,108,73,26,31,7053
subaru,gas,hatchback,2240,4,108,73,26,31,7603
subaru,gas,sedan,2145,4,108,82,32,37,7126
subaru,gas,sedan,2190,4,108,82,28,33,7775
subaru,gas,sedan,2340,4,108,94,26,32,9960
subaru,gas,sedan,2385,4,108,82,24,25,9233
subaru,gas,sedan,2510,4,108,111,24,29,11259
subaru,gas,wagon,2290,4,108,82,28,32,7463
subaru,gas,wagon,2455,4,108,94,25,31,10198
subaru,gas,wagon,2420,4,108,82,23,29,8013
subaru,gas,wagon,2650,4,108,111,23,23,11694
toyota,gas,hatchback,1985,4,92,62,35,39,5348
toyota,gas,hatchback,2040,4,92,62,31,38,6338
toyota,gas,hatchback,2015,4,92,62,31,38,6488
toyota,gas,wagon,2280,4,92,62,31,37,6918
toyota,gas,wagon,2290,4,92,62,27,32,7898
toyota,gas,wagon,3110,4,92,62,27,32,8778
toyota,gas,sedan,2081,4,98,70,30,37,6938
toyota,gas,hatchback,2109,4,98,70,30,37,7198
toyota,diesel,sedan,2275,4,110,56,34,36,7898
toyota,diesel,hatchback,2275,4,110,56,38,47,7788
toyota,gas,sedan,2094,4,98,70,38,47,7738
toyota,gas,hatchback,2122,4,98,70,28,34,8358
toyota,gas,sedan,2140,4,98,70,28,34,9258
toyota,gas,sedan,2169,4,98,70,29,34,8058
toyota,gas,hatchback,2204,4,98,70,29,34,8238
toyota,gas,sedan,2265,4,98,112,26,29,9298
toyota,gas,hatchback,2300,4,98,112,26,29,9538
toyota,gas,hardtop,2540,4,146,116,24,30,8449
toyota,gas,hardtop,2536,4,146,116,24,30,9639
toyota,gas,hatchback,2551,4,146,116,24,30,9989
toyota,gas,hardtop,2679,4,146,116,24,30,11199
toyota,gas,hatchback,2714,4,146,116,24,30,11549
toyota,gas,convertible,2975,4,146,116,24,30,17669
toyota,gas,sedan,2326,4,122,92,29,34,8948
toyota,diesel,sedan,2480,4,110,73,30,33,10698
toyota,gas,hatchback,2414,4,122,92,27,32,9988
toyota,gas,sedan,2414,4,122,92,27,32,10898
toyota,gas,hatchback,2458,4,122,92,27,32,11248
toyota,gas,hatchback,2976,6,171,161,20,24,16558
toyota,gas,hatchback,3016,6,171,161,19,24,15998
toyota,gas,sedan,3131,6,171,156,20,24,15690
toyota,gas,wagon,3151,6,161,156,19,24,15750
volkswagen,diesel,sedan,2261,4,97,52,37,46,7775
volkswagen,gas,sedan,2209,4,109,85,27,34,7975
volkswagen,diesel,sedan,2264,4,97,52,37,46,7995
volkswagen,gas,sedan,2212,4,109,85,27,34,8195
volkswagen,gas,sedan,2275,4,109,85,27,34,8495
volkswagen,diesel,sedan,2319,4,97,68,37,42,9495
volkswagen,gas,sedan,2300,4,109,100,26,32,9995
volkswagen,gas,convertible,2254,4,109,90,24,29,11595
volkswagen,gas,hatchback,2221,4,109,90,24,29,9980
volkswagen,gas,sedan,2661,5,136,110,19,24,13295
volkswagen,diesel,sedan,2579,4,97,68,33,38,13845
volkswagen,gas,wagon,2563,4,109,88,25,31,12290
volvo,gas,sedan,2912,4,141,114,23,28,12940
volvo,gas,wagon,3034,4,141,114,23,28,13415
volvo,gas,sedan,2935,4,141,114,24,28,15985
volvo,gas,wagon,3042,4,141,114,24,28,16515
volvo,gas,sedan,3045,4,130,162,17,22,18420
volvo,gas,wagon,3157,4,130,162,17,22,18950
volvo,gas,sedan,2952,4,141,114,23,28,16845
volvo,gas,sedan,3049,4,141,160,19,25,19045
volvo,gas,sedan,3012,6,173,134,18,23,21485
volvo,diesel,sedan,3217,6,145,106,26,27,22470
volvo,gas,sedan,3062,4,141,114,19,25,22625
