make,fuel_type,body_style,curb_weight,num_of_cylinders,engine_size,horsepower,city_mpg,highway_mpg,price,mpg
peugot,gas,sedan,3020,4,120,97,19,24,11900,22.0
peugot,diesel,sedan,3197,4,152,95,28,33,13200,20.0
peugot,gas,wagon,3230,4,120,97,19,24,12440,22.0
peugot,diesel,wagon,3430,4,152,95,25,25,13860,21.5
peugot,gas,sedan,3075,4,120,95,19,24,15580,30.5
peugot,diesel,sedan,3252,4,152,95,28,33,16900,21.5
peugot,gas,wagon,3285,4,120,95,19,24,16695,25.0
peugot,diesel,wagon,3485,4,152,95,25,25,17075,21.5
peugot,gas,sedan,3075,4,120,97,19,24,16630,30.5
peugot,diesel,sedan,3252,4,152,95,28,33,17950,21.5
peugot,gas,sedan,3130,4,134,142,18,24,18150,25.0
plymouth,gas,hatchback,1918,4,90,68,37,41,5572,21.5
plymouth,gas,hatchback,2128,4,98,102,24,30,7957,30.5
plymouth,gas,hatchback,1967,4,90,68,31,38,6229,21.0
plymouth,gas,sedan,1989,4,90,68,31,38,6692,39.0
plymouth,gas,sedan,2191,4,98,68,31,38,7609,27.0
plymouth,gas,wagon,2535,4,122,88,24,30,8921,34.5
plymouth,gas,hatchback,2818,4,156,145,19,24,12764,34.5
porsche,gas,hatchback,2778,4,151,143,19,27,22018,34.5
porsche,gas,hardtop,2756,6,194,207,17,25,32528,27.0
porsche,gas,hardtop,2756,6,194,207,17,25,34028,21.5
porsche,gas,convertible,2800,6,194,207,17,25,37028,23.0
renault,gas,wagon,2579,4,132,?,23,31,9295,21.0
renault,gas,hatchback,2460,4,132,?,23,31,9895,21.0
saab,gas,hatchback,2658,4,121,110,21,28,11850,21.0
saab,gas,sedan,2695,4,121,110,21,28,12170,
saab,gas,hatchback,2707,4,121,110,21,28,15040,27.0
saab,gas,sedan,2758,4,121,110,21,28,15510,27.0
saab,gas,hatchback,2808,4,121,160,19,26,18150,24.5
saab,gas,sedan,2847,4,121,160,19,26,18620,24.5
subaru,gas,hatchback,2050,4,97,69,31,36,5118,24.5
subaru,gas,hatchback,2120,4,108,73,26,31,7053,24.5
subaru,gas,hatchback,2240,4,108,73,26,31,7603,22.5
subaru,gas,sedan,2145,4,108,82,32,37,7126,22.5
subaru,gas,sedan,2190,4,108,82,28,33,7775,33.5
subaru,gas,sedan,2340,4,108,94,26,32,9960,28.5
subaru,gas,sedan,2385,4,108,82,24,25,9233,28.5
subaru,gas,sedan,2510,4,108,111,24,29,11259,34.5
subaru,gas,wagon,2290,4,108,82,28,32,7463,30.5
subaru,gas,wagon,2455,4,108,94,25,31,10198,29.0
subaru,gas,wagon,2420,4,108,82,23,29,8013,24.5
subaru,gas,wagon,2650,4,108,111,23,23,11694,26.5
toyota,gas,hatchback,1985,4,92,62,35,39,5348,30.0
toyota,gas,hatchback,2040,4,92,62,31,38,6338,28.0
toyota,gas,hatchback,2015,4,92,62,31,38,6488,26.0
toyota,gas,wagon,2280,4,92,62,31,37,6918,23.0
toyota,gas,wagon,2290,4,92,62,27,32,7898,37.0
toyota,gas,wagon,3110,4,92,62,27,32,8778,34.5
toyota,gas,sedan,2081,4,98,70,30,37,6938,34.5
toyota,gas,hatchback,2109,4,98,70,30,37,7198,34.0
toyota,diesel,sedan,2275,4,110,56,34,36,7898,29.5
toyota,diesel,hatchback,2275,4,110,56,38,47,7788,29.5
toyota,gas,sedan,2094,4,98,70,38,47,7738,33.5
toyota,gas,hatchback,2122,4,98,70,28,34,8358,33.5
toyota,gas,sedan,2140,4,98,70,28,34,9258,35.0
toyota,gas,sedan,2169,4,98,70,29,34,8058,42.5
toyota,gas,hatchback,2204,4,98,70,29,34,8238,42.5
toyota,gas,sedan,2265,4,98,112,26,29,9298,31.0
toyota,gas,hatchback,2300,4,98,112,26,29,9538,31.0
toyota,gas,hardtop,2540,4,146,116,24,30,8449,31.5
toyota,gas,hardtop,2536,4,146,116,24,30,9639,31.5
toyota,gas,hatchback,2551,4,146,116,24,30,9989,27.5
toyota,gas,hardtop,2679,4,146,116,24,30,11199,27.5
toyota,gas,hatchback,2714,4,146,116,24,30,11549,27.0
toyota,gas,convertible,2975,4,146,116,24,30,17669,27.0
toyota,gas,sedan,2326,4,122,92,29,34,8948,27.0
toyota,diesel,sedan,2480,4,110,73,30,33,10698,27.0
toyota,gas,hatchback,2414,4,122,92,27,32,9988,27.0
toyota,gas,sedan,2414,4,122,92,27,32,10898,27.0
toyota,gas,hatchback,2458,4,122,92,27,32,11248,31.5
toyota,gas,hatchback,2976,6,171,161,20,24,16558,31.5
toyota,gas,hatchback,3016,6,171,161,19,24,15998,29.5
toyota,gas,sedan,3131,6,171,156,20,24,15690,29.5
toyota,gas,wagon,3151,6,161,156,19,24,15750,29.5
volkswagen,diesel,sedan,2261,4,97,52,37,46,7775,22.0
volkswagen,gas,sedan,2209,4,109,85,27,34,7975,21.5
volkswagen,diesel,sedan,2264,4,97,52,37,46,7995,22.0
volkswagen,gas,sedan,2212,4,109,85,27,34,8195,21.5
volkswagen,gas,sedan,2275,4,109,85,27,34,8495,41.5
volkswagen,diesel,sedan,2319,4,97,68,37,42,9495,30.5
volkswagen,gas,sedan,2300,4,109,100,26,32,9995,41.5
volkswagen,gas,convertible,2254,4,109,90,24,29,11595,30.5
volkswagen,gas,hatchback,2221,4,109,90,24,29,9980,30.5
volkswagen,gas,sedan,2661,5,136,110,19,24,13295,39.5
volkswagen,diesel,sedan,2579,4,97,68,33,38,13845,29.0
volkswagen,gas,wagon,2563,4,109,88,25,31,12290,26.5
volvo,gas,sedan,2912,4,141,114,23,28,12940,26.5
volvo,gas,wagon,3034,4,141,114,23,28,13415,21.5
volvo,gas,sedan,2935,4,141,114,24,28,15985,35.5
volvo,gas,wagon,3042,4,141,114,24,28,16515,28.0
volvo,gas,sedan,3045,4,130,162,17,22,18420,25.5
volvo,gas,wagon,3157,4,130,162,17,22,18950,25.5
volvo,gas,sedan,2952,4,141,114,23,28,16845,26.0
volvo,gas,sedan,3049,4,141,160,19,25,19045,26.0
volvo,gas,sedan,3012,6,173,134,18,23,21485,19.5
volvo,diesel,sedan,3217,6,145,106,26,27,22470,19.5
volvo,gas,sedan,3062,4,141,114,19,25,22625,25.5
